geracao,qtdFeatures,qtdParticulas,fitness
0,238,100,0.3904139771900025
1,343,96,0.38944494245911576
2,278,75,0.3815537696134711
3,278,87,0.3815537696134711
4,239,75,0.38096207613448996
5,239,78,0.38096207613448996
6,239,68,0.38096207613448996
7,239,69,0.38096207613448996
8,264,80,0.3796175306404692
9,264,79,0.3796175306404692
10,264,75,0.3796175306404692
11,264,74,0.3796175306404692
12,264,78,0.3796175306404692
13,241,83,0.37712541857648374
14,241,82,0.37712541857648374
15,241,76,0.37712541857648374
16,241,74,0.37712541857648374
17,241,75,0.37712541857648374
18,241,75,0.37712541857648374
19,247,78,0.37639602457363786
20,247,77,0.37639602457363786
21,256,69,0.3677007299270072
22,256,79,0.3677007299270072
23,256,77,0.3677007299270072
24,256,71,0.3677007299270072
25,256,72,0.3677007299270072
26,256,76,0.3677007299270072
27,256,74,0.3677007299270072
28,263,82,0.3659620634142928
29,263,73,0.3659620634142928
30,263,71,0.3659620634142928
31,263,84,0.3659620634142928
32,263,71,0.3659620634142928
33,263,79,0.3659620634142928
34,263,73,0.3659620634142928
35,263,75,0.3659620634142928
36,263,83,0.3659620634142928
37,263,75,0.3659620634142928
38,263,74,0.3659620634142928
39,268,77,0.36538834498834494
40,268,73,0.36538834498834494
41,268,75,0.36538834498834494
42,268,86,0.36538834498834494
43,268,78,0.36538834498834494
44,268,72,0.36538834498834494
45,268,74,0.36538834498834494
46,268,79,0.36538834498834494
47,268,78,0.36538834498834494
48,268,78,0.36538834498834494
49,268,70,0.36538834498834494
50,268,75,0.36538834498834494
51,268,73,0.36538834498834494
52,268,76,0.36538834498834494
53,268,72,0.36538834498834494
54,268,85,0.36538834498834494
55,268,80,0.36538834498834494
56,268,76,0.36538834498834494
57,268,66,0.36538834498834494
58,268,76,0.36538834498834494
59,268,70,0.36538834498834494
60,268,76,0.36538834498834494
61,268,76,0.36538834498834494
62,268,75,0.36538834498834494
63,268,76,0.36538834498834494
64,268,72,0.36538834498834494
65,268,76,0.36538834498834494
66,268,78,0.36538834498834494
67,268,85,0.36538834498834494
68,268,77,0.36538834498834494
69,268,74,0.36538834498834494
70,268,68,0.36538834498834494
71,268,71,0.36538834498834494
72,268,75,0.36538834498834494
73,268,78,0.36538834498834494
74,268,77,0.36538834498834494
75,268,71,0.36538834498834494
76,268,81,0.36538834498834494
77,268,75,0.36538834498834494
78,268,76,0.36538834498834494
79,268,75,0.36538834498834494
80,268,73,0.36538834498834494
81,268,73,0.36538834498834494
82,268,80,0.36538834498834494
83,268,69,0.36538834498834494
84,268,75,0.36538834498834494
85,268,84,0.36538834498834494
86,268,73,0.36538834498834494
87,268,74,0.36538834498834494
88,268,73,0.36538834498834494
89,268,72,0.36538834498834494
90,268,70,0.36538834498834494
91,268,69,0.36538834498834494
92,268,75,0.36538834498834494
93,268,71,0.36538834498834494
94,268,78,0.36538834498834494
95,268,72,0.36538834498834494
96,268,72,0.36538834498834494
97,268,69,0.36538834498834494
98,268,77,0.36538834498834494
99,268,75,0.36538834498834494
100,268,75,0.36538834498834494
101,268,77,0.36538834498834494
102,268,78,0.36538834498834494
103,268,75,0.36538834498834494
104,268,67,0.36538834498834494
105,268,74,0.36538834498834494
106,268,73,0.36538834498834494
107,268,69,0.36538834498834494
108,268,73,0.36538834498834494
109,268,74,0.36538834498834494
110,268,72,0.36538834498834494
111,268,71,0.36538834498834494
112,268,76,0.36538834498834494
113,268,70,0.36538834498834494
114,268,73,0.36538834498834494
115,268,76,0.36538834498834494
116,268,82,0.36538834498834494
117,268,76,0.36538834498834494
118,268,69,0.36538834498834494
119,268,76,0.36538834498834494
120,268,73,0.36538834498834494
121,268,68,0.36538834498834494
122,268,74,0.36538834498834494
123,268,67,0.36538834498834494
124,268,74,0.36538834498834494
125,268,81,0.36538834498834494
126,268,68,0.36538834498834494
127,268,74,0.36538834498834494
128,268,72,0.36538834498834494
129,268,76,0.36538834498834494
130,268,79,0.36538834498834494
131,268,69,0.36538834498834494
132,268,72,0.36538834498834494
133,268,75,0.36538834498834494
134,268,85,0.36538834498834494
135,268,80,0.36538834498834494
136,268,72,0.36538834498834494
137,268,69,0.36538834498834494
138,268,74,0.36538834498834494
139,268,80,0.36538834498834494
140,268,78,0.36538834498834494
141,268,78,0.36538834498834494
142,268,76,0.36538834498834494
143,268,73,0.36538834498834494
144,268,68,0.36538834498834494
145,268,77,0.36538834498834494
146,269,78,0.3600147928994083
147,269,72,0.3600147928994083
148,269,78,0.3600147928994083
149,269,70,0.3600147928994083
150,269,77,0.3600147928994083
