geracao,qtdFeatures,qtdParticulas,fitness
0,234,100,0.38866406949451926
1,234,96,0.38866406949451926
2,238,80,0.3827117181883538
3,238,77,0.3827117181883538
4,238,78,0.3827117181883538
5,238,81,0.3827117181883538
6,238,77,0.3827117181883538
7,249,73,0.37904328560878575
8,249,71,0.37904328560878575
9,249,76,0.37904328560878575
10,249,71,0.37904328560878575
11,249,72,0.37904328560878575
12,249,73,0.37904328560878575
13,249,80,0.37904328560878575
14,249,76,0.37904328560878575
15,249,80,0.37904328560878575
16,249,78,0.37904328560878575
17,249,68,0.37904328560878575
18,249,75,0.37904328560878575
19,249,75,0.37904328560878575
20,234,78,0.37849581111957353
21,234,70,0.37849581111957353
22,234,78,0.37849581111957353
23,234,71,0.37849581111957353
24,234,81,0.37849581111957353
25,234,80,0.37849581111957353
26,234,81,0.37849581111957353
27,241,78,0.37077299228888483
28,241,74,0.37077299228888483
29,241,74,0.37077299228888483
30,241,73,0.37077299228888483
31,241,82,0.37077299228888483
32,241,78,0.37077299228888483
33,241,73,0.37077299228888483
34,241,80,0.37077299228888483
35,241,71,0.37077299228888483
36,241,68,0.37077299228888483
37,241,74,0.37077299228888483
38,241,78,0.37077299228888483
39,251,80,0.37058685280500125
40,251,72,0.37058685280500125
41,251,75,0.37058685280500125
42,251,75,0.37058685280500125
43,251,73,0.37058685280500125
44,251,68,0.37058685280500125
45,251,81,0.37058685280500125
46,251,69,0.37058685280500125
47,249,78,0.3671364794427694
48,249,89,0.3671364794427694
49,249,76,0.3671364794427694
50,249,74,0.3671364794427694
51,250,79,0.3669230769230769
52,250,79,0.3669230769230769
53,250,68,0.3669230769230769
54,250,65,0.3669230769230769
55,250,81,0.3669230769230769
56,250,71,0.3669230769230769
57,250,73,0.3669230769230769
58,250,70,0.3669230769230769
59,250,73,0.3669230769230769
60,250,74,0.3669230769230769
61,250,72,0.3669230769230769
62,250,80,0.3669230769230769
63,250,77,0.3669230769230769
64,250,79,0.3669230769230769
65,250,72,0.3669230769230769
66,250,77,0.3669230769230769
67,250,78,0.3669230769230769
68,250,74,0.3669230769230769
69,250,79,0.3669230769230769
70,250,71,0.3669230769230769
71,250,73,0.3669230769230769
72,250,78,0.3669230769230769
73,250,80,0.3669230769230769
74,250,71,0.3669230769230769
75,250,77,0.3669230769230769
76,250,76,0.3669230769230769
77,250,72,0.3669230769230769
78,250,81,0.3669230769230769
79,250,77,0.3669230769230769
80,250,78,0.3669230769230769
81,251,73,0.36538834498834494
82,251,70,0.36538834498834494
83,251,74,0.36538834498834494
84,251,69,0.36538834498834494
85,251,74,0.36538834498834494
86,251,77,0.36538834498834494
87,251,77,0.36538834498834494
88,251,72,0.36538834498834494
89,251,72,0.36538834498834494
90,251,70,0.36538834498834494
91,251,76,0.36538834498834494
92,251,76,0.36538834498834494
93,251,75,0.36538834498834494
94,251,75,0.36538834498834494
95,251,72,0.36538834498834494
96,251,79,0.36538834498834494
97,251,77,0.36538834498834494
98,251,73,0.36538834498834494
99,251,72,0.36538834498834494
100,251,73,0.36538834498834494
101,251,75,0.36538834498834494
102,251,72,0.36538834498834494
103,251,78,0.36538834498834494
104,251,70,0.36538834498834494
105,251,75,0.36538834498834494
106,251,82,0.36538834498834494
107,251,70,0.36538834498834494
108,251,69,0.36538834498834494
109,251,80,0.36538834498834494
110,251,71,0.36538834498834494
111,236,73,0.364427790061678
112,236,79,0.364427790061678
113,236,77,0.364427790061678
114,236,76,0.364427790061678
115,238,74,0.36442313510997315
116,238,74,0.36442313510997315
117,238,75,0.36442313510997315
118,238,69,0.36442313510997315
119,238,77,0.36442313510997315
120,238,75,0.36442313510997315
121,238,74,0.36442313510997315
122,238,69,0.36442313510997315
123,238,80,0.36442313510997315
124,238,76,0.36442313510997315
125,238,71,0.36442313510997315
126,238,71,0.36442313510997315
127,238,76,0.36442313510997315
