geracao,qtdFeatures,qtdParticulas,fitness
0,25,100,0.2766043592685067
1,31,85,0.25876902713434813
2,24,57,0.2565534458971158
3,25,55,0.25489172971562746
4,26,53,0.2446318520921179
5,26,53,0.2446318520921179
6,21,52,0.24012551353799372
7,21,52,0.24012551353799372
8,21,52,0.24012551353799372
9,21,56,0.24012551353799372
10,21,55,0.24012551353799372
11,21,53,0.24012551353799372
12,21,51,0.24012551353799372
13,21,50,0.24012551353799372
14,21,51,0.24012551353799372
15,21,55,0.24012551353799372
16,21,52,0.24012551353799372
17,21,50,0.24012551353799372
18,21,51,0.24012551353799372
19,21,52,0.24012551353799372
20,21,50,0.24012551353799372
21,21,50,0.24012551353799372
22,21,53,0.24012551353799372
23,21,53,0.24012551353799372
24,21,54,0.24012551353799372
25,21,54,0.24012551353799372
26,21,53,0.24012551353799372
27,21,52,0.24012551353799372
28,21,56,0.24012551353799372
29,21,53,0.24012551353799372
30,21,55,0.24012551353799372
31,21,53,0.24012551353799372
32,21,50,0.24012551353799372
33,21,51,0.24012551353799372
34,21,53,0.24012551353799372
35,21,53,0.24012551353799372
36,21,53,0.24012551353799372
37,21,51,0.24012551353799372
38,21,54,0.24012551353799372
39,21,56,0.24012551353799372
40,21,53,0.24012551353799372
41,21,55,0.24012551353799372
42,21,50,0.24012551353799372
43,21,53,0.24012551353799372
44,21,53,0.24012551353799372
45,21,52,0.24012551353799372
46,21,51,0.24012551353799372
47,21,53,0.24012551353799372
48,21,52,0.24012551353799372
49,21,54,0.24012551353799372
50,21,52,0.24012551353799372
51,21,54,0.24012551353799372
52,21,55,0.24012551353799372
53,21,50,0.24012551353799372
54,21,51,0.24012551353799372
55,21,50,0.24012551353799372
56,21,54,0.24012551353799372
57,21,55,0.24012551353799372
58,21,54,0.24012551353799372
59,21,55,0.24012551353799372
60,21,53,0.24012551353799372
61,21,52,0.24012551353799372
62,21,55,0.24012551353799372
63,21,52,0.24012551353799372
64,21,51,0.24012551353799372
65,21,52,0.24012551353799372
66,21,52,0.24012551353799372
67,21,53,0.24012551353799372
68,21,52,0.24012551353799372
69,21,55,0.24012551353799372
70,21,50,0.24012551353799372
71,21,50,0.24012551353799372
72,21,52,0.24012551353799372
73,21,55,0.24012551353799372
74,21,51,0.24012551353799372
75,21,50,0.24012551353799372
76,21,55,0.24012551353799372
77,21,51,0.24012551353799372
78,21,52,0.24012551353799372
79,21,50,0.24012551353799372
80,21,55,0.24012551353799372
81,21,51,0.24012551353799372
82,21,50,0.24012551353799372
83,21,51,0.24012551353799372
84,21,54,0.24012551353799372
85,21,52,0.24012551353799372
86,21,54,0.24012551353799372
87,21,52,0.24012551353799372
88,21,53,0.24012551353799372
89,21,54,0.24012551353799372
90,21,49,0.24012551353799372
91,21,56,0.24012551353799372
92,21,52,0.24012551353799372
93,21,48,0.24012551353799372
94,21,51,0.24012551353799372
95,21,55,0.24012551353799372
96,21,52,0.24012551353799372
97,21,53,0.24012551353799372
98,21,52,0.24012551353799372
99,21,55,0.24012551353799372
100,21,50,0.24012551353799372
101,21,49,0.24012551353799372
102,21,49,0.24012551353799372
103,21,53,0.24012551353799372
104,21,51,0.24012551353799372
105,21,53,0.24012551353799372
106,21,51,0.24012551353799372
107,21,52,0.24012551353799372
108,21,50,0.24012551353799372
109,21,52,0.24012551353799372
110,21,51,0.24012551353799372
111,21,56,0.24012551353799372
112,21,53,0.24012551353799372
113,21,51,0.24012551353799372
114,21,54,0.24012551353799372
115,21,54,0.24012551353799372
116,21,55,0.24012551353799372
117,21,52,0.24012551353799372
118,21,51,0.24012551353799372
119,21,52,0.24012551353799372
120,21,53,0.24012551353799372
121,21,51,0.24012551353799372
122,21,55,0.24012551353799372
123,21,51,0.24012551353799372
124,21,53,0.24012551353799372
125,21,53,0.24012551353799372
126,21,48,0.24012551353799372
127,21,52,0.24012551353799372
128,21,52,0.24012551353799372
129,21,51,0.24012551353799372
130,21,53,0.24012551353799372
131,21,52,0.24012551353799372
132,21,54,0.24012551353799372
133,21,52,0.24012551353799372
134,21,52,0.24012551353799372
135,21,55,0.24012551353799372
136,21,51,0.24012551353799372
137,28,52,0.23727829732344397
138,28,51,0.23727829732344397
139,28,55,0.23727829732344397
140,28,53,0.23727829732344397
141,28,49,0.23727829732344397
142,28,51,0.23727829732344397
143,28,52,0.23727829732344397
144,28,51,0.23727829732344397
145,28,53,0.23727829732344397
146,28,53,0.23727829732344397
147,28,51,0.23727829732344397
148,28,53,0.23727829732344397
149,28,50,0.23727829732344397
150,28,54,0.23727829732344397
