geracao,qtdFeatures,qtdParticulas,fitness
0,17,100,0.09356067874667617
1,23,100,0.09117680578032039
2,23,100,0.09117680578032039
3,14,100,0.08439406833366536
4,12,100,0.07939366381386725
5,12,100,0.07939366381386725
6,15,100,0.07852574194186812
7,15,100,0.07852574194186812
8,15,100,0.07852574194186812
9,15,100,0.07852574194186812
10,15,100,0.07852574194186812
11,15,100,0.07852574194186812
12,15,100,0.07852574194186812
13,15,100,0.07852574194186812
14,15,100,0.07852574194186812
15,15,100,0.07852574194186812
16,15,100,0.07852574194186812
17,15,100,0.07852574194186812
18,15,100,0.07852574194186812
19,15,100,0.07852574194186812
20,15,100,0.07852574194186812
21,15,100,0.07852574194186812
22,15,100,0.07852574194186812
23,15,100,0.07852574194186812
24,15,100,0.07852574194186812
25,15,100,0.07852574194186812
26,18,100,0.07671588322701428
27,18,100,0.07671588322701428
28,18,100,0.07671588322701428
29,18,100,0.07671588322701428
30,18,100,0.07671588322701428
31,18,100,0.07671588322701428
32,18,100,0.07671588322701428
33,18,100,0.07671588322701428
34,18,100,0.07671588322701428
35,18,100,0.07671588322701428
36,13,100,0.0717175235084524
37,13,100,0.0717175235084524
38,13,100,0.0717175235084524
39,13,100,0.0717175235084524
40,13,100,0.0717175235084524
41,13,100,0.0717175235084524
42,13,100,0.0717175235084524
43,13,100,0.0717175235084524
44,13,100,0.0717175235084524
45,13,100,0.0717175235084524
46,13,100,0.0717175235084524
47,13,100,0.0717175235084524
48,13,100,0.0717175235084524
49,13,100,0.0717175235084524
50,13,100,0.0717175235084524
51,13,100,0.0717175235084524
52,13,100,0.0717175235084524
53,13,100,0.0717175235084524
54,13,100,0.0717175235084524
55,13,100,0.0717175235084524
56,13,100,0.0717175235084524
57,13,100,0.0717175235084524
58,13,100,0.0717175235084524
59,13,100,0.0717175235084524
60,13,100,0.0717175235084524
61,13,100,0.0717175235084524
62,13,100,0.0717175235084524
63,13,100,0.0717175235084524
64,13,100,0.0717175235084524
65,13,100,0.0717175235084524
66,13,100,0.0717175235084524
67,13,100,0.0717175235084524
68,13,100,0.0717175235084524
69,13,100,0.0717175235084524
70,13,100,0.0717175235084524
71,13,100,0.0717175235084524
72,13,100,0.0717175235084524
73,13,100,0.0717175235084524
74,13,100,0.0717175235084524
75,13,100,0.0717175235084524
76,13,100,0.0717175235084524
77,13,100,0.0717175235084524
78,13,100,0.0717175235084524
79,9,100,0.070642565452254
80,9,100,0.070642565452254
81,9,100,0.070642565452254
82,9,100,0.070642565452254
83,9,100,0.070642565452254
84,9,100,0.070642565452254
85,9,100,0.070642565452254
86,9,100,0.070642565452254
87,9,100,0.070642565452254
88,9,100,0.070642565452254
89,9,100,0.070642565452254
90,9,100,0.070642565452254
91,9,100,0.070642565452254
92,9,100,0.070642565452254
93,9,100,0.070642565452254
94,9,100,0.070642565452254
95,9,100,0.070642565452254
96,9,100,0.070642565452254
97,9,100,0.070642565452254
98,9,100,0.070642565452254
99,9,100,0.070642565452254
100,9,100,0.070642565452254
101,9,100,0.070642565452254
102,9,100,0.070642565452254
103,9,100,0.070642565452254
104,9,100,0.070642565452254
105,9,100,0.070642565452254
106,9,100,0.070642565452254
107,9,100,0.070642565452254
108,9,100,0.070642565452254
109,14,100,0.06658971342316145
110,14,100,0.06658971342316145
111,14,100,0.06658971342316145
112,14,100,0.06658971342316145
113,14,100,0.06658971342316145
114,14,100,0.06658971342316145
115,14,100,0.06658971342316145
116,14,100,0.06658971342316145
117,14,100,0.06658971342316145
118,14,100,0.06658971342316145
119,14,100,0.06658971342316145
120,14,100,0.06658971342316145
121,14,100,0.06658971342316145
122,14,100,0.06658971342316145
123,14,100,0.06658971342316145
124,14,100,0.06658971342316145
125,14,100,0.06658971342316145
126,14,100,0.06658971342316145
127,14,100,0.06658971342316145
128,14,100,0.06658971342316145
129,14,100,0.06658971342316145
130,14,100,0.06658971342316145
131,14,100,0.06658971342316145
132,14,100,0.06658971342316145
133,14,100,0.06658971342316145
134,14,100,0.06658971342316145
135,14,100,0.06658971342316145
136,14,100,0.06658971342316145
137,14,100,0.06658971342316145
138,14,100,0.06658971342316145
139,14,100,0.06658971342316145
140,14,100,0.06658971342316145
141,14,100,0.06658971342316145
142,14,100,0.06658971342316145
143,14,100,0.06658971342316145
144,14,100,0.06658971342316145
145,14,100,0.06658971342316145
146,14,100,0.06658971342316145
147,14,100,0.06658971342316145
148,14,100,0.06658971342316145
149,14,100,0.06658971342316145
150,14,100,0.06658971342316145
