geracao,qtdFeatures,qtdParticulas,fitness
0,19,100,0.06079664570230614
1,19,40,0.06079664570230614
2,19,27,0.06079664570230614
3,19,16,0.06079664570230614
4,19,8,0.06079664570230614
5,19,11,0.06079664570230614
6,25,2,0.05962141509370611
7,25,6,0.05962141509370611
8,25,6,0.05962141509370611
9,25,3,0.05962141509370611
10,25,4,0.05962141509370611
11,25,2,0.05962141509370611
12,25,2,0.05962141509370611
13,25,1,0.05962141509370611
14,25,5,0.05962141509370611
15,25,2,0.05962141509370611
16,25,1,0.05962141509370611
17,25,3,0.05962141509370611
18,25,1,0.05962141509370611
19,25,0,0.05962141509370611
20,25,0,0.05962141509370611
21,25,0,0.05962141509370611
22,25,0,0.05962141509370611
23,25,0,0.05962141509370611
24,25,0,0.05962141509370611
25,25,0,0.05962141509370611
26,25,0,0.05962141509370611
27,25,0,0.05962141509370611
28,25,0,0.05962141509370611
29,25,0,0.05962141509370611
30,25,1,0.05962141509370611
31,25,0,0.05962141509370611
32,25,0,0.05962141509370611
33,25,0,0.05962141509370611
34,25,0,0.05962141509370611
35,25,0,0.05962141509370611
36,25,0,0.05962141509370611
37,25,0,0.05962141509370611
38,25,0,0.05962141509370611
39,25,0,0.05962141509370611
40,25,0,0.05962141509370611
41,25,0,0.05962141509370611
42,25,0,0.05962141509370611
43,25,0,0.05962141509370611
44,25,0,0.05962141509370611
45,25,0,0.05962141509370611
46,25,0,0.05962141509370611
47,25,0,0.05962141509370611
48,25,0,0.05962141509370611
49,25,0,0.05962141509370611
50,25,0,0.05962141509370611
51,25,0,0.05962141509370611
52,25,0,0.05962141509370611
53,25,0,0.05962141509370611
54,25,0,0.05962141509370611
55,25,0,0.05962141509370611
56,25,0,0.05962141509370611
57,25,0,0.05962141509370611
58,25,0,0.05962141509370611
59,25,0,0.05962141509370611
60,25,0,0.05962141509370611
61,25,0,0.05962141509370611
62,25,0,0.05962141509370611
63,25,0,0.05962141509370611
64,25,0,0.05962141509370611
65,25,0,0.05962141509370611
66,25,0,0.05962141509370611
67,25,0,0.05962141509370611
68,25,0,0.05962141509370611
69,25,0,0.05962141509370611
70,25,0,0.05962141509370611
71,25,0,0.05962141509370611
72,25,0,0.05962141509370611
73,25,0,0.05962141509370611
74,25,0,0.05962141509370611
75,25,0,0.05962141509370611
76,25,0,0.05962141509370611
77,25,0,0.05962141509370611
78,25,0,0.05962141509370611
79,25,0,0.05962141509370611
80,25,0,0.05962141509370611
81,25,0,0.05962141509370611
82,25,0,0.05962141509370611
83,25,0,0.05962141509370611
84,25,0,0.05962141509370611
85,25,0,0.05962141509370611
86,25,0,0.05962141509370611
87,25,0,0.05962141509370611
88,25,0,0.05962141509370611
89,25,0,0.05962141509370611
90,25,0,0.05962141509370611
91,25,0,0.05962141509370611
92,25,0,0.05962141509370611
93,25,0,0.05962141509370611
94,25,0,0.05962141509370611
95,25,0,0.05962141509370611
96,25,0,0.05962141509370611
97,25,0,0.05962141509370611
98,25,0,0.05962141509370611
99,25,0,0.05962141509370611
100,25,0,0.05962141509370611
101,25,0,0.05962141509370611
102,25,0,0.05962141509370611
103,25,0,0.05962141509370611
104,25,0,0.05962141509370611
105,25,0,0.05962141509370611
106,25,0,0.05962141509370611
107,25,0,0.05962141509370611
108,25,0,0.05962141509370611
109,25,0,0.05962141509370611
110,25,0,0.05962141509370611
111,25,0,0.05962141509370611
112,25,0,0.05962141509370611
113,25,0,0.05962141509370611
114,25,0,0.05962141509370611
115,25,0,0.05962141509370611
116,25,0,0.05962141509370611
117,25,0,0.05962141509370611
118,25,0,0.05962141509370611
119,25,0,0.05962141509370611
120,25,0,0.05962141509370611
121,25,0,0.05962141509370611
122,25,0,0.05962141509370611
123,25,0,0.05962141509370611
124,25,0,0.05962141509370611
125,25,0,0.05962141509370611
126,25,0,0.05962141509370611
127,25,0,0.05962141509370611
128,25,0,0.05962141509370611
129,25,0,0.05962141509370611
130,25,0,0.05962141509370611
131,25,0,0.05962141509370611
132,25,0,0.05962141509370611
133,25,0,0.05962141509370611
134,25,0,0.05962141509370611
135,25,0,0.05962141509370611
136,25,0,0.05962141509370611
137,25,0,0.05962141509370611
138,25,0,0.05962141509370611
139,25,0,0.05962141509370611
140,25,0,0.05962141509370611
141,25,0,0.05962141509370611
142,25,0,0.05962141509370611
143,25,0,0.05962141509370611
144,25,0,0.05962141509370611
145,25,0,0.05962141509370611
146,25,0,0.05962141509370611
147,25,0,0.05962141509370611
148,25,0,0.05962141509370611
149,25,0,0.05962141509370611
150,25,0,0.05962141509370611
