geracao,qtdFeatures,qtdParticulas,fitness
0,16,100,0.09829984970285288
1,16,91,0.09829984970285288
2,15,58,0.09671562131751132
3,14,52,0.08904439934843345
4,14,53,0.08904439934843345
5,14,51,0.08904439934843345
6,14,51,0.08118738638772738
7,14,51,0.08118738638772738
8,14,55,0.08118738638772738
9,14,56,0.08118738638772738
10,14,51,0.08118738638772738
11,12,54,0.07841788400753558
12,12,52,0.07841788400753558
13,12,52,0.07841788400753558
14,12,53,0.07841788400753558
15,12,56,0.07841788400753558
16,12,52,0.07841788400753558
17,12,53,0.07841788400753558
18,12,52,0.07841788400753558
19,12,53,0.07841788400753558
20,12,53,0.07841788400753558
21,12,57,0.07841788400753558
22,12,53,0.07841788400753558
23,12,54,0.07841788400753558
24,12,53,0.07841788400753558
25,12,58,0.07841788400753558
26,12,52,0.07841788400753558
27,12,52,0.07841788400753558
28,12,50,0.07841788400753558
29,12,52,0.07388430713604899
30,12,58,0.07388430713604899
31,12,51,0.07388430713604899
32,12,55,0.07388430713604899
33,12,56,0.07388430713604899
34,12,51,0.07388430713604899
35,12,54,0.07388430713604899
36,12,55,0.07388430713604899
37,12,52,0.07388430713604899
38,12,52,0.07388430713604899
39,12,56,0.07388430713604899
40,12,55,0.07388430713604899
41,12,51,0.07388430713604899
42,12,54,0.07388430713604899
43,12,54,0.07388430713604899
44,12,56,0.07388430713604899
45,12,52,0.07388430713604899
46,12,51,0.07388430713604899
47,11,52,0.06941656615647551
48,11,54,0.06941656615647551
49,11,54,0.06941656615647551
50,11,56,0.06941656615647551
51,11,54,0.06941656615647551
52,11,52,0.06941656615647551
53,11,51,0.06941656615647551
54,11,54,0.06941656615647551
55,11,52,0.06941656615647551
56,11,54,0.06941656615647551
57,11,53,0.06941656615647551
58,11,51,0.06941656615647551
59,11,53,0.06941656615647551
60,11,53,0.06941656615647551
61,11,53,0.06941656615647551
62,11,51,0.06941656615647551
63,11,51,0.06941656615647551
64,11,53,0.06941656615647551
65,11,54,0.06941656615647551
66,11,54,0.06941656615647551
67,11,55,0.06941656615647551
68,11,50,0.06941656615647551
69,11,52,0.06941656615647551
70,11,52,0.06941656615647551
71,11,52,0.06941656615647551
72,11,52,0.06941656615647551
73,11,51,0.06941656615647551
74,11,55,0.06941656615647551
75,11,53,0.06941656615647551
76,11,56,0.06941656615647551
77,11,52,0.06941656615647551
78,11,54,0.06941656615647551
79,11,56,0.06941656615647551
80,11,51,0.06941656615647551
81,11,54,0.06941656615647551
82,11,54,0.06941656615647551
83,11,52,0.06941656615647551
84,11,53,0.06941656615647551
85,11,54,0.06941656615647551
86,11,55,0.06941656615647551
87,11,52,0.06941656615647551
88,11,53,0.06941656615647551
89,11,53,0.06941656615647551
90,11,53,0.06941656615647551
91,11,51,0.06941656615647551
92,11,52,0.06941656615647551
93,11,53,0.06941656615647551
94,11,52,0.06941656615647551
95,11,54,0.06941656615647551
96,11,53,0.06941656615647551
97,11,50,0.06941656615647551
98,11,54,0.06941656615647551
99,11,52,0.06941656615647551
100,11,53,0.06941656615647551
101,11,53,0.06941656615647551
102,11,55,0.06941656615647551
103,11,55,0.06941656615647551
104,11,54,0.06941656615647551
105,11,54,0.06941656615647551
106,11,52,0.06941656615647551
107,11,54,0.06941656615647551
108,11,55,0.06941656615647551
109,11,53,0.06941656615647551
110,11,53,0.06941656615647551
111,11,54,0.06941656615647551
112,11,52,0.06941656615647551
113,11,54,0.06941656615647551
114,11,52,0.06941656615647551
115,11,56,0.06941656615647551
116,11,51,0.06941656615647551
117,11,52,0.06941656615647551
118,11,54,0.06941656615647551
119,11,53,0.06941656615647551
120,11,54,0.06941656615647551
121,11,53,0.06941656615647551
122,11,51,0.06941656615647551
123,11,56,0.06941656615647551
124,11,54,0.06941656615647551
125,11,55,0.06941656615647551
126,11,53,0.06941656615647551
127,11,55,0.06941656615647551
128,11,52,0.06941656615647551
129,11,53,0.06941656615647551
130,11,54,0.06941656615647551
131,11,51,0.06941656615647551
132,11,52,0.06941656615647551
133,11,52,0.06941656615647551
134,11,51,0.06941656615647551
135,11,55,0.06941656615647551
136,11,51,0.06941656615647551
137,11,53,0.06941656615647551
138,11,53,0.06941656615647551
139,11,51,0.06941656615647551
140,11,52,0.06941656615647551
141,11,52,0.06941656615647551
142,11,56,0.06941656615647551
143,11,55,0.06941656615647551
144,11,52,0.06941656615647551
145,11,51,0.06941656615647551
146,11,55,0.06941656615647551
147,11,51,0.06941656615647551
148,11,54,0.06941656615647551
149,11,53,0.06941656615647551
150,11,54,0.06941656615647551
