geracao,qtdFeatures,qtdParticulas,fitness
0,13,100,0.09040996107532273
1,13,87,0.09040996107532273
2,13,58,0.09040996107532273
3,9,55,0.08539346192157926
4,9,53,0.08539346192157926
5,9,53,0.08539346192157926
6,12,57,0.07499676025435353
7,12,53,0.07499676025435353
8,12,54,0.07499676025435353
9,12,53,0.07499676025435353
10,12,55,0.07499676025435353
11,12,50,0.07499676025435353
12,12,51,0.07499676025435353
13,12,52,0.07499676025435353
14,12,52,0.07499676025435353
15,12,51,0.07499676025435353
16,12,55,0.07499676025435353
17,12,52,0.07499676025435353
18,12,51,0.07499676025435353
19,12,52,0.07499676025435353
20,12,53,0.07499676025435353
21,12,52,0.07499676025435353
22,12,52,0.07499676025435353
23,12,54,0.07499676025435353
24,12,54,0.07499676025435353
25,12,51,0.07499676025435353
26,12,53,0.07499676025435353
27,12,54,0.07499676025435353
28,12,55,0.07499676025435353
29,12,53,0.07499676025435353
30,12,55,0.07499676025435353
31,12,56,0.07499676025435353
32,12,56,0.07499676025435353
33,12,52,0.07499676025435353
34,12,52,0.07499676025435353
35,12,55,0.07499676025435353
36,12,52,0.07499676025435353
37,12,52,0.07499676025435353
38,12,54,0.07499676025435353
39,12,52,0.07499676025435353
40,12,56,0.07499676025435353
41,12,52,0.07499676025435353
42,12,52,0.07499676025435353
43,12,53,0.07499676025435353
44,12,50,0.07499676025435353
45,12,52,0.07499676025435353
46,12,51,0.07499676025435353
47,12,51,0.07499676025435353
48,12,55,0.07499676025435353
49,12,54,0.07499676025435353
50,12,54,0.07499676025435353
51,12,54,0.07499676025435353
52,12,52,0.07499676025435353
53,12,51,0.07499676025435353
54,12,55,0.07499676025435353
55,12,53,0.07499676025435353
56,12,51,0.07499676025435353
57,12,53,0.07499676025435353
58,12,54,0.07499676025435353
59,12,54,0.07499676025435353
60,12,52,0.07499676025435353
61,12,55,0.07499676025435353
62,12,51,0.07499676025435353
63,12,54,0.07499676025435353
64,12,53,0.07499676025435353
65,13,53,0.0711421370742914
66,13,54,0.0711421370742914
67,13,49,0.0711421370742914
68,13,52,0.0711421370742914
69,13,53,0.0711421370742914
70,13,51,0.0711421370742914
71,13,56,0.0711421370742914
72,13,53,0.0711421370742914
73,13,54,0.0711421370742914
74,13,52,0.0711421370742914
75,13,52,0.0711421370742914
76,13,52,0.0711421370742914
77,13,53,0.0711421370742914
78,13,51,0.0711421370742914
79,13,52,0.0711421370742914
80,13,57,0.0711421370742914
81,13,54,0.0711421370742914
82,13,52,0.0711421370742914
83,13,54,0.0711421370742914
84,13,50,0.0711421370742914
85,13,52,0.0711421370742914
86,13,53,0.0711421370742914
87,13,55,0.0711421370742914
88,13,51,0.0711421370742914
89,13,51,0.0711421370742914
90,13,55,0.0711421370742914
91,13,51,0.0711421370742914
92,13,57,0.0711421370742914
93,13,53,0.0711421370742914
94,13,50,0.0711421370742914
95,13,54,0.0711421370742914
96,13,53,0.0711421370742914
97,13,52,0.0711421370742914
98,13,52,0.0711421370742914
99,13,54,0.0711421370742914
100,13,52,0.0711421370742914
101,13,52,0.0711421370742914
102,13,52,0.0711421370742914
103,13,52,0.0711421370742914
104,13,51,0.0711421370742914
105,13,55,0.0711421370742914
106,13,56,0.0711421370742914
107,13,51,0.0711421370742914
108,13,53,0.0711421370742914
109,13,52,0.0711421370742914
110,13,53,0.0711421370742914
111,13,51,0.0711421370742914
112,13,55,0.0711421370742914
113,13,54,0.0711421370742914
114,13,53,0.0711421370742914
115,13,50,0.0711421370742914
116,13,53,0.0711421370742914
117,13,55,0.0711421370742914
118,13,52,0.0711421370742914
119,13,53,0.0711421370742914
120,13,54,0.0711421370742914
121,13,50,0.0711421370742914
122,13,51,0.0711421370742914
123,13,50,0.0711421370742914
124,13,55,0.0711421370742914
125,13,53,0.0711421370742914
126,13,54,0.0711421370742914
127,13,52,0.0711421370742914
128,13,55,0.0711421370742914
129,13,52,0.0711421370742914
130,13,52,0.0711421370742914
131,13,51,0.0711421370742914
132,13,50,0.0711421370742914
133,13,53,0.0711421370742914
134,13,52,0.0711421370742914
135,13,53,0.0711421370742914
136,13,52,0.0711421370742914
137,13,50,0.0711421370742914
138,13,56,0.0711421370742914
139,13,54,0.0711421370742914
140,13,52,0.0711421370742914
141,13,52,0.0711421370742914
142,13,53,0.0711421370742914
143,13,51,0.0711421370742914
144,13,52,0.0711421370742914
145,13,55,0.0711421370742914
146,13,53,0.0711421370742914
147,13,54,0.0711421370742914
148,13,54,0.0711421370742914
149,13,54,0.0711421370742914
150,13,56,0.0711421370742914
